url,rank2017,startedDateTime,cdn,reqTotal,reqHtml,reqJS,reqCSS,reqImg,bytesTotal,bytesHtml,bytesJS,bytesCSS,bytesImg,TTFB,performanceScore,firstContentfulPaint,maxPotentialFirstInputDelay,speedIndex,firstMeaningfulPaint,firstCPUIdle,timeToInteractive
omglane.com,14102,1584063049,Cloudflare,82,17,21,2,28,732255,5033,459246,4844,235740,1699,0.7,1940,123,2554,3581,7541,7541
www.android-hilfe.de,14105,1583696195,"",131,17,46,3,46,927445,66943,679644,37506,61552,2838,0.53,2776,126,2853,2776,10750,13302
www.leroymerlin.it,14106,1584018278,"",83,11,44,1,17,1532638,127682,949130,2326,324579,2371,0.34,1500,1486,6711,4747,16552,16552
www.kmart.com.au,14107,1584627281,Incapsula,78,3,36,3,27,1703022,61436,846590,34898,627506,3171,0.1,6235,1519,9374,7665,12634,15998
mobareco.jp,14111,1584284772,"",147,2,22,5,117,3389193,15932,408712,93162,2846011,4059,0.1,6456,287,15732,6456,6891,23087
www.openbible.info,14112,1584294529,Amazon CloudFront,51,8,23,1,19,694344,50225,490714,1736,151669,1401,0.83,822,163,1776,822,5933,5933
gmgard.com,14113,1583235120,Cloudflare,52,1,8,6,37,1574460,9181,90690,38407,1436182,2272,0.58,3312,239,4146,3709,7736,7736
www.men.gov.ma,14117,1583398760,"",164,4,34,12,112,3925411,76987,935530,119774,2746151,4477,,,,,,,
www.rarejob.com,14120,1584348467,"",244,22,60,4,109,4930977,75446,1136757,131955,3108395,2024,0.3,4560,256,6625,4560,5076,37904
www.bejson.com,14122,1583286244,Yunjiasu,95,35,32,8,14,719737,104061,542896,32544,7020,4997,0.19,6404,276,6461,7928,12795,12795
m.segye.com,14125,1584618882,"",80,6,21,1,50,2046171,43736,487348,80522,1434228,2485,0.24,5469,6783,5464,5469,15102,15102
www.segye.com,14125,1583349437,"",80,4,20,1,51,2354125,14476,258765,80522,2000025,4192,0.31,4727,6099,4858,4727,11821,15333
www.kosgeb.gov.tr,14128,1584373707,"",93,2,28,18,38,4988678,18860,287153,74921,4481508,3003,0.33,3484,407,5012,6601,15614,15615
www.21ic.com,14129,1584625448,"",60,7,15,5,33,780765,55082,438841,44188,242654,3306,0.64,2299,55,6037,2714,6263,6263
www.centauro.com.br,14131,1583636527,Akamai,96,17,38,1,28,1253178,15362,945471,808,257954,4902,0.08,6981,758,10103,6981,15170,15170
m.centauro.com.br,14131,1584504778,Akamai,49,5,23,1,15,1019461,8672,713032,808,263366,2904,0.12,6061,802,9222,6061,14252,14252
shahvani.com,14132,1584692278,Cloudflare,31,3,12,7,7,564280,6374,421430,40842,35314,1454,0.86,1427,89,1942,2105,5328,5328
setopati.com,14134,1584816100,"",241,20,40,10,150,19307994,75446,851839,81705,18041641,3590,,7479,486,10583,7479,25679,
www.setopati.com,14134,1583410652,"",298,36,43,10,174,19101310,86456,1027536,81705,17648250,2766,,5306,290,9541,5306,12944,
www.topcashback.com,14138,1584753649,"",75,6,28,10,22,1559435,25457,1124859,148955,186603,2474,0.12,5246,1617,8947,8596,15874,15874
www.americanthinker.com,14140,1583409388,Amazon CloudFront,431,61,191,3,76,1953122,66264,1289430,10302,545489,1563,0.27,2456,349,9794,2609,25965,25965
www.stuff.tv,14141,1584361143,Amazon CloudFront,206,22,50,10,72,3535347,31932,611070,113500,2668342,2372,0.14,4699,302,11874,4699,9477,26661
www.mymaths.co.uk,14142,1583193949,Amazon CloudFront,26,1,7,4,9,576642,13290,325648,68274,100220,1450,0.74,2955,64,4147,5164,5164,4625
www.tennis-warehouse.com,14143,1584841435,"",48,4,16,2,23,1366561,8514,459310,48229,822288,1399,0.69,4116,49,4282,5574,5574,4116
www.rainews.it,14145,1584317915,Akamai,222,22,74,5,110,2429597,92922,895053,71951,1297284,1801,0.08,6101,1281,12632,6101,11843,17712
bookboon.com,14146,1584870954,"",43,2,7,2,27,1012523,9147,160803,16533,802715,3854,0.69,3713,174,5076,4488,4488,4352
www.mtgsalvation.com,14147,1583409416,Cloudflare,258,46,36,6,95,3333880,57083,980032,133593,1898864,1866,0.21,5438,672,6572,5438,8147,24085
m.koreatimes.co.kr,14152,1584848580,"",193,14,40,5,109,4103792,83895,882182,16022,2735409,1804,0.23,2208,314,18067,5503,9093,36941
www.koreatimes.co.kr,14152,1583882026,"",224,22,43,5,120,4687097,128536,931363,29840,3231869,1763,0.26,2699,348,19036,2699,8827,35826
www.ladenzeile.de,14154,1584627911,"",59,2,25,3,24,645203,31031,271561,15114,301323,2276,0.65,1664,298,7342,1727,5785,5785
www.euronics.it,14155,1583892472,Zenedge,283,8,11,2,255,9455284,100691,499382,64680,8716398,2606,,654,79,943,918,,
www.clubensayos.com,14156,1583260905,"",31,1,7,2,16,262592,30688,72668,980,92652,2176,0.95,1770,230,2161,1770,3460,3460
klankosova.tv,14157,1584604343,Cloudflare,338,2,30,10,290,12689953,27574,630945,25840,11957882,1621,0.42,3084,269,4906,5423,5423,69124
www.yuanlin.com,14158,1584170147,"",56,2,16,6,32,477986,9144,197089,36438,235315,11072,0.01,17943,25,18068,17943,17943,17943
www.schoolmessenger.com,14162,1584387726,Incapsula,64,1,18,12,25,2482675,14295,154652,88229,2116354,1881,0.36,3941,394,6741,4408,4408,15315
www.boostmobile.com,14163,1583188924,Akamai,186,21,72,6,65,2510432,34679,837543,72597,1232469,1783,0.2,5007,2167,6267,5007,20388,20388
boostmobile.com,14163,1583792639,Akamai,101,9,35,6,39,2430233,27931,724259,72597,1272334,4046,0.17,5279,1252,6624,5279,20640,22469
www.movoto.com,14164,1583752314,"",78,10,38,2,16,1694489,38566,1204483,78800,295558,1641,,,,,,,
www.computershare.com,14165,1584502068,"",72,7,21,3,30,2741127,126633,1240758,565002,746246,4084,0.06,10358,177,11036,10358,14209,14209
www.xinshipu.com,14167,1583575368,"",89,22,24,5,33,741214,92486,358037,8318,258557,7431,0.52,3576,107,6171,3576,6855,6855
m.xinshipu.com,14167,1584092221,"",94,22,26,5,36,755971,93355,378466,8212,252122,2303,0.58,3070,187,5732,3242,6771,6771
www.kiplinger.com,14168,1583811962,"",337,42,91,14,133,3650694,65681,1254802,57191,2164432,2325,0.16,4240,272,11332,4393,9193,31858
