url,rank2017,startedDateTime,cdn,reqTotal,reqHtml,reqJS,reqCSS,reqImg,bytesTotal,bytesHtml,bytesJS,bytesCSS,bytesImg,TTFB,performanceScore,firstContentfulPaint,maxPotentialFirstInputDelay,speedIndex,firstMeaningfulPaint,firstCPUIdle,timeToInteractive
m.google.com,1,1584513269,Google,68,5,18,5,35,3353161,8376,617200,21922,2627403,2882,0.42,2606.217,270.937,9099,2606.217,8645.862,8645.862
m.drive.google.com,1,1583250752,Google,48,5,14,8,15,743485,8523,239157,28915,425422,4588,0.51,4006.587,142.561,7107,5928.653,5928.653,5393.551
www.ads.google.com,1,1583343054,Google,49,3,21,2,10,3713641,20045,1909470,64839,843966,2348,0.73,2809.182,410.228,4239,5291.179,5291.179,4998.8
www.sites.google.com,1,1584276028,Google,18,3,5,0,1,531096,441640,14203,0,1494,1939,0.61,3921.946,295.243,4697,5411.742,5716.225,5716.225
m.sites.google.com,1,1583326437,Google,18,3,5,0,1,528846,439692,13901,0,1494,1758,0.65,3670.883,342.204,4400,5191.878,5540.808,5540.8079999924
www.docs.google.com,1,1584391340,Google,19,2,5,0,1,532151,442695,14203,0,1494,3130,0.55,4361.883,323.675,5130,6155.528,6155.528,6042.823
www.drive.google.com,1,1583850251,Google,48,5,14,8,15,739998,8523,239049,28915,422043,4277,0.54,3966.702,94.772,7176,6112.563,6112.563,4652.283
www.google.com,1,1583105781,Google,37,15,5,1,15,356670,44099,281989,2983,27532,1426,0.98,939.854,155.088,1070,1029.734,3133.458,3133.458
m.youtube.com,2,1583365864,Google,19,4,5,2,6,1202416,429442,539170,76024,129061,1755,0.67,2736.027,108.528,4530,2736.027,2760.609,8357.492
www.youtube.com,2,1583804760,Google,19,5,4,2,6,1170935,412770,539107,76024,114315,2721,0.6,3465.056,94.657,4033,3465.056,7342.929,7342.929
m.prod.facebook.com,3,1583116294,Facebook,24,1,17,2,4,334809,26125,234550,30279,43855,1438,0.96,2178.527,85.038,2260,2178.527,2811.416,2811.416
m.intern.facebook.com,3,1583554274,Facebook,22,2,14,2,4,318463,26124,222135,26349,43855,3028,0.83,3182.703,142.823,3288,3182.703,4138.903,4138.903
www.prod.facebook.com,3,1584425552,Facebook,22,2,14,2,4,317730,26487,217832,28054,45357,2307,0.83,3203.697,66.161,3287,3203.697,4050.72,4050.72
m.latest.facebook.com,3,1584409951,Facebook,21,1,14,2,4,317500,26251,217838,28054,45357,1548,0.93,2378.751,68.841,2482,2378.751,3385.847,3385.847
m.facebook.com,3,1583754916,Facebook,21,1,14,2,4,315933,26257,220903,23416,45357,1389,0.93,2503.009,106.202,2567,2503.009,3308.998,3308.998
m.news.baidu.com,4,1583330904,"",41,8,11,2,20,317507,3646,227942,20345,65574,4845,0.15,7041.947,103.158,10273,7932.87,10388.394,10388.394
m.baidu.com,4,1584753313,"",98,3,49,0,38,1112501,92403,371015,0,605106,2693,0.49,1688.129,212.86,8687,6890.136,6890.136,6840.401000001907
www.baidu.com,4,1584287645,"",104,3,49,0,41,1309217,92599,370329,0,772827,1651,0.44,1776.804,199.155,15715,7017.974,7027.459,7027.459
www.wikipedia.org,5,1584463552,"",7,1,2,0,4,89029,18609,9767,0,60653,1354,0.99,1790.794,37.562,1861,1790.794,1846.073,1846.073
m.tw.mall.yahoo.com,6,1584809190,"",106,2,4,1,97,12506987,25545,396668,10704,12074038,2281,,4979.213,536.126,13809,4979.213,12032.135,
m.tw.buy.yahoo.com,6,1584748615,"",47,2,7,0,36,1513693,105929,340068,0,1067696,2185,0.44,2423.704,594.73,6656,2423.704,10166.589,10166.5890000076
www.yahoo.com,6,1584686714,"",110,13,47,0,38,864443,179424,412908,0,271868,1514,0.76,1423.355,226.883,2126,1692.455,4557.469,8473.519999984741
m.tw.pay.buy.yahoo.com,6,1584101657,"",48,3,7,0,36,1442073,106676,340069,0,995328,3830,0.35,3921.121,429.425,8417,3921.121,8696.381,8696.381
m.search.yahoo.com,6,1584654054,"",7,1,3,0,3,143855,30757,104748,0,8350,1499,1,1217.572,45.315,1305,1217.572,1217.572,1217.572
m.tw.bid.yahoo.com,6,1584414081,"",97,4,30,0,63,2874019,64414,272466,0,2537139,2879,0.17,3790.223,259.944,13126,3790.223,17934.467,19049.515
www.google.co.in,7,1583750953,Google,32,11,5,1,15,353350,44049,278786,2983,27532,1454,0.96,1054.339,137.511,2073,1137.664,3506.565,3506.565
www.qq.com,8,1583765588,Akamai,53,5,25,0,21,522936,80319,318949,0,120624,1746,0.8,794.494,737.525,988,794.494,4455.242,7481.3270000153
m.qq.com,8,1583690509,"",27,3,4,0,20,382609,6094,134858,0,241657,6125,0.17,5829.989,504.737,7911,8916.412,11614.373,11614.373
m.ac.qq.com,8,1584932222,"",199,3,6,2,185,15531155,28305,701681,114850,14686287,3224,,5526.726,222.522,7047,5526.726,19318.498,
m.house.qq.com,8,1583058047,"",55,12,10,2,28,547730,12936,102949,20995,410830,3406,0.42,5125.894,84.604,6646,5125.894,6719.574,6719.574
m.gamer.qq.com,8,1584449635,"",26,3,8,2,13,476601,5834,231337,13695,225735,2689,0.5,4542.699,297.364,6934,4542.699,5669.068,5669.068
m.egame.qq.com,8,1583541764,"",40,4,6,2,28,2294345,21913,86533,30640,2155259,2341,0.53,3325.082,240.741,5149,3325.082,4917.466,9972.5310000076
m.exmail.qq.com,8,1584818019,"",12,4,1,1,6,468721,2403,53139,8350,404829,4605,0.24,4817.863,66.501,35608,4817.863,8890.288,8890.288
m.fanyi.qq.com,8,1583837849,"",24,5,7,1,6,258802,2670,212797,4083,39200,4831,0.48,4191.949,93.863,5455,4191.949,7535.873,7535.873
www.roblox.qq.com,8,1583196449,"",51,4,5,2,39,1494142,7839,71447,8267,1406589,10508,0.27,5768.122,113.063,7013,5768.122,9466.783,9466.783
m.db.house.qq.com,8,1584147486,"",44,8,11,2,20,233995,9359,102912,14627,107045,3639,0.48,4931.591,66.731,5596,4931.591,6626.996,6626.996
m.ke.qq.com,8,1583188295,"",153,29,90,2,30,1470658,37011,801522,19989,612136,2034,0.25,2800.006,473.46,13091,2800.006,16001.188,16001.188
m.live.qq.com,8,1583663226,"",45,2,5,1,36,2402091,5370,104010,6797,2285914,2546,0.55,2542.724,86.042,5925,2542.724,2635.513,11490.7780000038
m.nbachina.qq.com,8,1584832708,"",146,23,7,2,85,2663353,48232,149494,5576,2460051,2471,0.33,3321.759,385.848,11631,3321.759,3378.221,18267.413000001907
m.v.qq.com,8,1584806438,"",51,1,7,3,38,5539831,12044,508414,24235,4995049,3778,0.1,6445.973,395.605,19936,6445.973,11901.997,11901.997
app.work.weixin.qq.com,8,1584234475,"",35,5,10,2,17,1826953,6022,167646,21357,1617716,3251,0.78,3490.732,75.844,4545,3490.732,3721.589,3721.589
app.daoju.qq.com,8,1583136054,"",70,5,27,0,35,184684,13585,116581,0,54400,2884,,,,,,,
m.vip.qq.com,8,1584283247,"",50,5,16,3,20,407233,6654,169338,56061,175066,3995,0.49,5600.702,53.391,6008,5600.702,5744.173,5744.173
m.mall.qq.com,8,1583614585,"",47,4,23,0,18,685876,16097,298873,0,370847,2064,0.42,1726.335,360.25,7344,6035.561,9144.177,9144.177
www.taobao.com,9,1584269100,"",105,6,20,0,79,1192489,19529,311218,0,861742,9117,0.12,5154.099,372.553,11349,10225.864,13284.96,13284.96
m.intl.taobao.com,9,1583204072,"",44,3,17,0,22,547050,66262,310698,0,170090,2053,0.5,3873.911,192.836,4101,3873.911,3873.911,14414.2749999924
www.google.co.jp,11,1583139332,Google,32,11,5,1,15,350929,44431,275983,2983,27532,1340,0.98,903.314,151.285,1815,982.636,3162.327,3162.327
m.auto.sohu.com,12,1583341402,"",54,14,19,1,20,891575,6635,69736,24445,790759,2111,0.5,3072.623,184.117,4969,3072.623,4670.471,14881.684
m.mail.sohu.com,12,1583486276,"",41,2,21,5,11,364390,3456,93505,4085,263200,2843,0.5,4537.893,58.066,10097,4537.893,4605.106,4605.106
m.tv.sohu.com,12,1584564273,"",116,6,7,2,98,14926478,10911,98824,22396,14794315,2457,,3150.634,364.749,12078,3150.634,7513.249,
m.k.sohu.com,12,1583445004,"",111,1,11,3,96,1747066,10351,46534,3516,1686665,2658,0.74,4013.653,68.168,4072,4013.653,4162.908,4162.908
m.sohu.com,12,1584120025,"",147,32,37,1,74,636801,22892,369905,17962,214488,4221,0.41,3897.314,1259.878,4399,3897.314,7486.278,15726.6659999847
www.amazon.com,13,1583109827,Akamai,207,27,28,10,102,3650320,128709,734868,118391,2600492,1685,0.45,2537.193,103.998,10535,3071.228,7587.008,7587.008
m.vk.com,15,1584435140,"",35,4,13,2,13,884425,19350,366575,419454,78450,4016,0.44,6155.092,16,6138,6155.092,6155.092,6155.092
www.reddit.com,16,1583672146,Fastly,45,3,23,0,14,708342,35289,590577,0,73778,1503,0.34,1337.058,1264.445,8160,7466.035,8851.475,12784.05
blog.twitter.com,17,1584507287,Twitter,35,4,17,3,6,1320866,15046,267724,49903,912014,1540,0.6,1861.908,198.473,9077,5000.438,5000.438,4961.373
twitter.com,17,1583358401,"",123,2,117,0,2,1960255,25390,1929918,0,4947,2884,0.37,1702.786,258.86,7178,7272.837,11007.886,11007.886
www.instagram.com,18,1583847144,"",27,1,15,5,5,1149807,11147,632970,47804,457886,1384,0.58,874.103,250.751,6016,4014.087,7258.294,7258.294
www.secure.instagram.com,18,1584479560,"",27,1,15,5,5,1182792,11242,654303,47959,469288,1438,0.68,914.044,185.16,6831,4736.437,4736.437,4713.037
m.iask.sina.com.cn,19,1583548530,"",176,17,27,5,123,5327573,111949,170709,8860,5035745,2387,0.3,3302.552,369.17,14437,3718.875,4352.509,18285.085
m.yyk.iask.sina.com.cn,19,1583387325,"",58,6,19,4,26,912078,28032,177342,16161,690543,2651,0.13,8044.254,158.285,8333,8044.254,8278.186,14829.278
m.ishare.iask.sina.com.cn,19,1584413636,"",80,9,30,6,28,970575,19127,269709,21530,660145,2230,0.31,3434.086,273.201,7105,3434.086,10180.34,13885.513
m.360.cn,20,1584317504,"",40,2,4,0,34,714959,8525,21486,0,684948,2330,,3158.84,16,6124,3158.84,,
www.google.de,21,1583493502,Google,32,11,5,1,15,353549,44245,278789,2983,27532,1338,0.98,888.279,109.179,1788,966.88,3165.215,3165.2150000076
blog.linkedin.com,22,1584181640,"",42,3,6,2,20,7568207,50078,262130,77248,7060071,1395,0.56,3030.839,388.68,14801,4450.28,4450.28,4372.5420000076
www.linkedin.com,22,1584814451,"",24,1,7,1,10,306408,9533,216003,15402,65425,1481,0.94,2251.979,66.464,3021,2251.979,3005.463,3005.463
shop.m.jd.com,23,1584152395,Edgecast,26,5,13,1,6,330190,38885,142351,67619,81240,6839,0.37,3790.183,2079.507,6974,7730.208,8508.904,8508.9039999847
m.jr.jd.com,23,1584845273,Edgecast,78,3,22,3,41,1350680,1597,474046,65810,798997,3870,0.2,4231.809,371.244,10321,6296.788,11196.139,11196.139000001
www.jd.com,23,1583200429,"",35,2,7,3,18,1183309,4314,160319,23111,865037,3452,0.34,4516.216,174.694,7772,4516.216,4516.216,11398.606
app.jd.com,23,1583892364,"",57,4,14,2,37,1410081,14461,144021,9157,1242442,2084,0.48,2724.728,704.913,6260,2724.728,4424.32,13653.776
m.jd.com,23,1583955423,"",109,8,19,6,75,1906621,61034,202529,93629,1547676,2846,0.27,3319.053,516.497,14842,3319.053,7231.947,13557.901
www.google.co.uk,24,1583122729,Google,32,11,5,1,15,350806,43957,276334,2983,27532,1320,0.98,875.829,140.414,1894,909.848,3073.959,3073.959
m.hk.weibo.com,25,1584139867,"",136,14,65,18,35,1144460,16048,586563,15132,477900,3365,0.07,6167.82,236.053,13015,6167.82,13730.904,15892.7929999847
m.overseas.weibo.com,25,1583080513,"",198,28,77,16,45,911772,36796,668987,13755,190179,4777,0.06,6306.696,276.867,13718,6306.696,16398.132,17657.967
m.my.weibo.com,25,1584889340,"",200,27,84,18,49,1205388,75927,831888,14922,235569,3913,0.01,9479.152,143.028,16833,9479.152,22982.508,29861.06
app.weibo.com,25,1584022823,"",159,4,4,1,150,1879277,224936,130446,16316,1507579,5472,,13617.102,108.642,14322,14524.093,,
m.sg.weibo.com,25,1583133040,"",166,18,77,18,43,1007773,54271,766918,14922,134754,3751,0.06,6944.178,195.472,12160,6944.178,15456.403,16777.187
m.tw.weibo.com,25,1584244835,"",174,17,54,15,59,1459818,18231,460730,13802,930918,3548,0.03,6939.695,424.707,21047,6939.695,20587.778,25279.204
www.google.fr,26,1583508994,Google,37,16,5,1,15,353525,44221,278789,2983,27532,1372,0.98,877.621,122.816,1750,937.699,3081.584,3081.584
www.google.ru,27,1583151841,Google,32,11,5,1,15,350973,44475,275983,2983,27532,1336,0.98,938.871,123.053,1820,1010.152,3156.986,3156.986
m.finance.yahoo.co.jp,28,1584408316,Yahoo,71,5,28,3,34,910911,30063,207605,32409,640526,1873,0.54,3137.988,95.072,4716,3137.988,8563.164,8563.164
m.mail.yahoo.co.jp,28,1583780200,"",18,2,5,2,6,112819,5851,55378,7273,43394,3853,0.76,3751.836,120.381,3998,3751.836,4235.16,4235.16
